Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20201022102178,2020-10-16,"Pahrump, NV",United States,,Non-Fatal,Substantial,Helicopter,Robinson,R44,No,1.0,,Business,Spring Mountain Raceway LLC,0.0,2.0,0.0,1.0,VMC,,Pahrump, NV,2020,10,16,3.0,1.0
20201104102236,2020-10-22,"Xenia, OH",United States,Greene County � Lewis A. Jacks,Non-Fatal,Substantial,Airplane,Cirrus,SR22,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,3.0,VMC,,Xenia, OH,2020,10,22,3.0,1.0
20201117102298,2020-11-14,"Hammonton, NJ",United States,HAMMONTON MUNI,Non-Fatal,Substantial,Helicopter,Aerospatiale,AS355,No,,,Business,CATALYST AVIATION LLC,0.0,0.0,0.0,1.0,,,Hammonton, NJ,2020,11,14,1.0,1.0
20201127102341,2020-11-25,"Atlanta, GA",United States,Dekalb-Peachtree Airport,Non-Fatal,Minor,Airplane,Aero  mmander,500,No,2.0,,Business,Central Air Southwest,0.0,0.0,0.0,2.0,VMC,,Atlanta, GA,2020,11,25,2.0,1.0
20201202102361,2020-12-02,"Lufkin, TX",United States,Angelina County Airport,Non-Fatal,Substantial,Airplane,Cessna,551,No,2.0,,Business,Aviation Star S,0.0,1.0,0.0,2.0,IMC,,Lufkin, TX,2020,12,2,3.0,1.0
20201210102399,2020-12-10,"Colorado City, TX",United States,,Fatal,Destroyed,Helicopter,Robinson,R44,No,1.0,,Business,,2.0,0.0,0.0,0.0,VMC,,Colorado City, TX,2020,12,10,2.0,0.0
20210205102605,2021-02-04,"Chitina, AK",United States,,Fatal,Substantial,Airplane,Cessna,185,No,1.0,,Business,Copper Valley Air Service,2.0,0.0,0.0,0.0,VMC,,Chitina, AK,2021,2,4,2.0,0.0
20210219102650,2021-02-18,"Lubbock, TX",United States,,Non-Fatal,Substantial,Airplane,Beech,B100,No,2.0,,Business,N312MB LLC,0.0,0.0,0.0,3.0,VMC,,Lubbock, TX,2021,2,18,3.0,1.0
20210316102764,2021-03-13,"Chevak, AK",United States,CHEVAK,Non-Fatal,Substantial,Airplane,Cessna,208B,No,1.0,Turbo Prop,Business,Grant Aviation,0.0,0.0,0.0,5.0,VMC,,Chevak, AK,2021,3,13,5.0,1.0
20210325102805,2021-03-20,"Port Alsworth, AK",United States,PORT ALSWORTH,Non-Fatal,Substantial,Airplane,Beech,A36,No,1.0,Reciprocating,Business,Lake Clark Air,0.0,0.0,0.0,2.0,VMC,,Port Alsworth, AK,2021,3,20,2.0,1.0
20210409102900,2021-04-09,"Stockbridge, GA",United States,Berry Hill Airport,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,Business,SouthEast Aircraft Leasing LLC,0.0,0.0,0.0,3.0,VMC,,Stockbridge, GA,2021,4,9,3.0,1.0
20210415102920,2021-04-10,"Boulder, CO",United States,,Non-Fatal,Substantial,Airplane,Vans  craft,RV-7,No,1.0,,Business,,0.0,0.0,0.0,1.0,,,Boulder, CO,2021,4,10,1.0,1.0
20210419102940,2021-04-03,"Fairbanks, AK",United States,FAIRBANKS INTL,Non-Fatal,Substantial,Airplane,Cessna,208B,No,1.0,,Business,TATONDUK OUTFITTERS LTD DBA,0.0,0.0,0.0,5.0,IMC,,Fairbanks, AK,2021,4,3,5.0,1.0
20210419102941,2021-04-16,"Chignik Lagoon, AK",United States,CHIGNIK LAGOON,Non-Fatal,Substantial,Airplane,Beech,C-99,No,2.0,Turbo Prop,Business,LAKE CLARK AIR INC,0.0,0.0,0.0,9.0,VMC,,Chignik Lagoon, AK,2021,4,16,9.0,1.0
20210604103212,2021-06-03,"Denver, CO",United States,Denver International Airport,Non-Fatal,Substantial,Airplane,Beech,1900,No,2.0,,Business,Alpine Air Express,0.0,0.0,0.0,1.0,VMC,,Denver, CO,2021,6,3,1.0,1.0
20210610103244,2021-06-04,"Aspen, CO",United States,ASPEN-PITKIN COUNTY/SARDY FLD,Non-Fatal,Substantial,Airplane,Cessna,560XL,No,2.0,,Business,AIRCRAFT LEASING & SALES INC,0.0,0.0,0.0,5.0,VMC,,Aspen, CO,2021,6,4,5.0,1.0
20210615103270,2021-06-15,"Paragould, AR",United States,,Fatal,Destroyed,Airplane,Tractor,502B,No,1.0,,Business,Scott Flying Service,1.0,0.0,0.0,0.0,VMC,,Paragould, AR,2021,6,15,1.0,0.0
20210617103280,2021-06-17,"Goodland, KS",United States,RENNER FLD /GOODLAND MUNI/,Non-Fatal,Substantial,Airplane,Beech,U-8F,No,2.0,,Business,BEMIDJI AVIATION SERVICES INC,0.0,1.0,0.0,0.0,VMC,,Goodland, KS,2021,6,17,1.0,1.0
